word,ipa,definition,example,category,difficulty,user_id
"Indicate","/ˈɪn.dɪ.keɪt/","Chỉ ra, biểu thị (đồng nghĩa với Show).","The study indicates a link between poverty and crime.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Engage in","/ɪnˈɡeɪdʒ ɪn/","Tham gia vào (đồng nghĩa với Participate in).","Only 10% of adults engage in regular exercise.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Pastime","/ˈpɑːs.taɪm/","Trò tiêu khiển, hoạt động giải trí.","Reading is her favorite pastime.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Dominant","/ˈdɒm.ɪ.nənt/","Chiếm ưu thế, phổ biến nhất.","Watching TV remains the dominant form of entertainment.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Participation rate","/pɑːˌtɪs.ɪˈpeɪ.ʃən reɪt/","Tỷ lệ tham gia.","The participation rate in the election was low.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Leisure activity","/ˈleʒ.ər ækˌtɪv.ə.ti/","Hoạt động vui chơi giải trí.","Popular leisure activities include swimming and reading.","Topic: Hobbies","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Priority","/praɪˈɒr.ə.ti/","Sự ưu tiên.","Each department has different spending priorities.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Expenditure","/ɪkˈspen.dɪ.tʃər/","Sự chi tiêu (đồng nghĩa với Investment/Spending).","Government expenditure on health has increased.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Record","/rɪˈkɔːd/","Ghi nhận (đạt được mức độ nào đó).","The company recorded the highest profits this year.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Regarding","/rɪˈɡɑː.dɪŋ/","Liên quan đến/Về việc (Dùng nối câu rất hay).","I have a question regarding your last email.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Amount","/əˈmaʊnt/","Lượng/Số lượng (Dùng cho danh từ KHÔNG đếm được như Money).","A large amount of money was wasted.","Task 1","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Illustrate","/ˈɪl.ə.streɪt/","Minh họa (thay cho Show).","The graph illustrates the changes in population.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Expenditure","/ɪkˈspen.dɪ.tʃər/","Chi tiêu/Kinh phí (thay cho Spending/Money).","The government increased expenditure on education.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Allocate","/ˈæl.ə.keɪt/","Phân bổ (tiền/tài nguyên).","Funds were allocated to three main sectors.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Breakdown","/ˈbreɪk.daʊn/","Sự phân tách chi tiết số liệu.","The chart provides a breakdown of sales by region.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Sector","/ˈsek.tər/","Lĩnh vực/Mảng (thay cho Category).","Investment in the technology sector has grown.","Task 1","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Funding","/ˈfʌn.dɪŋ/","Nguồn vốn/Kinh phí.","The project received funding from five organizations.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Illustrate","/ˈɪl.ə.streɪt/","Minh họa, mô tả (dùng mở bài).","The bar chart illustrates the trends in spending.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Gender","/ˈdʒen.dər/","Giới tính.","The data is categorized by gender.","Task 1","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
