word,ipa,definition,example,category,difficulty,user_id
"Obsolescence","/ˌɒb.sə'les.əns/","Sự lỗi thời (quá trình trở nên không còn hữu dụng).","Built-in obsolescence ensures that consumers keep buying new products.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Augmented Reality","/ɔːɡ'men.tɪd ri'æl.ə.ti/","Thực tế ảo tăng cường (kết hợp ảo và thực).","Augmented reality apps are transforming the retail shopping experience.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Disruptive","/dɪs'rʌp.tɪv/","Mang tính đột phá, làm đảo lộn trật tự cũ.","Uber is a prime example of a disruptive technology in the transport sector.","Business","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Algorithm","/'æl.ɡə.rɪ.ðəm/","Thuật toán.","Social media platforms use complex algorithms to curate content for users.","IT","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Intuitive","/ɪn'tʃuː.ɪ.tɪv/","Trực quan, dễ sử dụng không cần hướng dẫn.","Apple is famous for creating intuitive user interfaces.","Design","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Encryption","/ɪn'krɪp.ʃən/","Sự mã hóa dữ liệu.","End-to-end encryption ensures that only the sender and receiver can read the messages.","Security","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Bandwidth","/'bænd.wɪtθ/","Băng thông (lượng dữ liệu truyền tải).","Streaming 4K video requires a high internet bandwidth.","Network","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Glitch","/ɡlɪtʃ/","Sự cố kỹ thuật nhỏ, trục trặc tạm thời.","A technical glitch caused the website to go offline for ten minutes.","IT","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Interface","/'ɪn.tə.feɪs/","Giao diện người dùng.","The user interface should be clean and easy to navigate.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cutting-edge","/ˌkʌt.ɪŋ 'edʒ/","Tiên tiến nhất, hiện đại nhất.","This laboratory conducts cutting-edge research in genetics.","Science","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Digital Footprint","/ˌdɪdʒ.ɪ.təl 'fʊt.prɪnt/","Dấu chân số (vết tích để lại trên mạng).","You should be careful about your digital footprint when posting on social media.","Internet","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cloud Computing","/ˌklaʊd kəm'pjuː.tɪŋ/","Điện toán đám mây.","Cloud computing allows businesses to scale their operations easily.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Gadget","/'ɡædʒ.ɪt/","Tiện ích, đồ công nghệ nhỏ.","He loves buying the latest kitchen gadgets.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Tech-savvy","/'tek ˌsæv.i/","Am hiểu công nghệ.","The younger generation is generally more tech-savvy than their parents.","General","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Biometrics","/ˌbaɪ.əʊ'met.rɪks/","Sinh trắc học (vân tay, khuôn mặt...).","Biometrics such as fingerprint scanning are used for high-security access.","Security","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Ubiquitous","/juː'bɪk.wɪ.təs/","Có mặt ở khắp mọi nơi.","Smartphones have become ubiquitous in modern society.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Meticulous","/mə'tɪk.jə.ləs/","Tỉ mỉ, kỹ càng từng chi tiết.","He planned the project with meticulous attention to detail.","Work","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Pragmatic","/præɡ'mæt.ɪk/","Thực tế, thực dụng.","We need to adopt a pragmatic approach to this complex issue.","Problem Solving","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Eloquent","/'el.ə.kwənt/","Hùng biện, nói năng lưu loát thuyết phục.","She made an eloquent speech defending her position.","Communication","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Inevitably","/ɪ'nev.ɪ.tə.bli/","Một cách không thể tránh khỏi.","Investments in technology will inevitably lead to job losses in some sectors.","Economy","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
