word,ipa,definition,example,category,difficulty,user_id
"Artificial Intelligence","/ˌɑː.tɪ.fɪʃ.əl ɪnˈtel.ɪ.dʒəns/","Trí tuệ nhân tạo.","AI is transforming the way we work and live.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Automation","/ˌɔː.təˈmeɪ.ʃən/","Tự động hóa.","Automation will lead to job losses in manufacturing.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Breakthrough","/ˈbreɪk.θruː/","Bước đột phá (công nghệ/khoa học).","Scientists have made a major breakthrough in cancer research.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cutting-edge","/ˌkʌt.ɪŋ ˈedʒ/","Tiên tiến nhất, hiện đại nhất.","The company utilizes cutting-edge technology.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cybersecurity","/ˌsaɪ.bə.sɪˈkjʊə.rə.ti/","An ninh mạng.","Cybersecurity is a top priority for banks.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Digitalisation","/ˌdɪdʒ.ɪ.təl.aɪˈzeɪ.ʃən/","Sự số hóa.","The digitalisation of medical records has improved efficiency.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Innovation","/ˌɪn.əˈveɪ.ʃən/","Sự đổi mới, sáng tạo.","Innovation is key to business success.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Interface","/ˈɪn.tə.feɪs/","Giao diện.","The user interface should be intuitive and easy to use.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Obsolete","/ˌɒb.səlˈiːt/","Lỗi thời (công nghệ cũ).","Gas lamps became obsolete when electricity was invented.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Prototype","/ˈprəʊ.tə.taɪp/","Nguyên mẫu (bản thử nghiệm).","They are testing a prototype of the new car.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Revolutionize","/ˌrev.əˈluː.ʃən.aɪz/","Cách mạng hóa.","The internet has revolutionized communication.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Sophisticated","/səˈfɪs.tɪ.keɪ.tɪd/","Tinh vi, phức tạp (công nghệ cao).","Modern weapons are extremely sophisticated.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"State-of-the-art","/ˌsteɪt.əv.ðiːˈɑːt/","Hiện đại nhất (cùng nghĩa cutting-edge).","The gym is equipped with state-of-the-art machines.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Technophobe","/ˈtek.nə.fəʊb/","Người sợ/ghét công nghệ.","My grandfather is a bit of a technophobe.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Virtual reality","/ˌvɜː.tʃu.əl riˈæl.ə.ti/","Thực tế ảo.","Virtual reality is used in pilot training.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Algorithm","/ˈæl.ɡə.rɪ.ðəm/","Thuật toán.","Google's search algorithm is very complex.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Database","/ˈdeɪ.tə.beɪs/","Cơ sở dữ liệu.","We need to update the customer database.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Glitch","/ɡlɪtʃ/","Lỗi kỹ thuật nhỏ/trục trặc.","A technical glitch caused the system to crash.","Technology","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Integration","/ˌɪn.tɪˈɡreɪ.ʃən/","Sự tích hợp.","Seamless integration of software is essential.","Technology","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Wireless","/ˈwaɪə.ləs/","Không dây.","Wireless technology allows us to work from anywhere.","Technology","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Biodiversity","/ˌbaɪ.əʊ.daɪˈvɜː.sə.ti/","Đa dạng sinh học.","The rainforest has incredible biodiversity.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Climate change","/ˈklaɪ.mət tʃeɪndʒ/","Biến đổi khí hậu.","Climate change is a global emergency.","Environment","Easy","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Conservation","/ˌkɒn.səˈveɪ.ʃən/","Sự bảo tồn.","Wildlife conservation is important.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Contamination","/kənˌtæm.ɪˈneɪ.ʃən/","Sự ô nhiễm (hóa chất/độc hại).","Water contamination can cause serious diseases.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Deforestation","/diːˌfɒr.ɪˈsteɪ.ʃən/","Nạn phá rừng.","Deforestation destroys habitats.","Environment","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Degradation","/ˌdeɡ.rəˈdeɪ.ʃən/","Sự suy thoái (đất/môi trường).","Soil degradation affects crop yields.","Environment","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
