word,ipa,definition,example,category,difficulty,user_i
"Distinct","/dɪˈstɪŋkt/","Riêng biệt, khác biệt rõ rệt.","The chart shows four distinct age groups.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Constitute","/ˈkɒn.stɪ.tjuːt/","Cấu thành, tạo nên (đồng nghĩa: Make up, Account for).","Young people constitute the majority of the workforce.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Segment","/ˈseɡ.mənt/","Phân khúc, bộ phận.","The largest segment of the population is the elderly.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Precisely","/prɪˈsaɪs.li/","Chính xác (dùng trước số liệu cụ thể).","The figure stood at precisely 1.5 million.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Substantial","/səbˈstæn.ʃəl/","Đáng kể, lớn lao (mô tả mức tăng/giảm mạnh).","There was a substantial increase in sales.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Modest","/ˈmɒd.ɪst/","Khiêm tốn, nhẹ (mô tả mức tăng/giảm nhỏ).","A modest rise of 0.6% was recorded.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Populace","/ˈpɒp.jə.ləs/","Dân chúng, toàn bộ dân cư (Từ cao cấp cho Population).","The entire populace was affected by the policy.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"The latter","/ðə ˈlæt.ər/","Cái/Người được nhắc đến sau (trong 2 cái).","Between apple and orange, I prefer the latter.","General","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Witness","/ˈwɪt.nəs/","Chứng kiến (xu hướng).","The region witnessed a decline in population.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Demographic","/ˌdem.əˈɡræf.ɪk/","Nhóm nhân khẩu học (thay cho Age group).","The 15-39 demographic decreased slightly.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Cohort","/ˈkəʊ.hɔːt/","Nhóm người có cùng đặc điểm (tuổi).","The 40-64 cohort saw an increase.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Bracket","/ˈbræk.ɪt/","Nhóm/Phân khúc (trong độ tuổi/thu nhập).","People in the higher income bracket.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Populous","/ˈpɒp.jə.ləs/","Đông dân.","China is the most populous country.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Contraction","/kənˈtræk.ʃən/","Sự thu hẹp/sụt giảm (thay cho Decrease).","The economy suffered a contraction of 2%.","Task 1","Hard","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Marginal","/ˈmɑː.dʒɪ.nəl/","Nhỏ, không đáng kể (Slight).","There was only a marginal difference between the two figures.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Account for","/əˈkaʊnt fɔːr/","Chiếm (bao nhiêu phần trăm).","The 15-39 group accounts for 33% of the total.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
"Respectively","/rɪˈspek.tɪv.li/","Lần lượt là (dùng khi liệt kê số liệu).","A and B are 10 and 20, respectively.","Task 1","Medium","443720d6-49bf-4bea-bf5b-0c894733cde9"
